10,0,0.5
10,5,0.5
10,10,0.5
10,20,0.5
10,0,0.3
10,5,0.3
10,10,0.3
10,0,0.3
10,0,0.3
10,5,0.3
10,0,0.3
10,5,0.3
10,10,0.3
10,20,0.3
10,30,0.3
10,0,0.3
